Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall  Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score,Location
200019,SOUTHERN MAINE HEALTH CARE,1 MEDICAL CENTER DRIVE,Biddeford,ME,4005,YORK,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4,15,"1 MEDICAL CENTER DRIVE
Biddeford, ME 04005
(43.478517, -70.492207)"
340064,WILKES REGIONAL MEDICAL CENTER,1370 WEST D ST,North Wilkesboro,NC,28659,WILKES,5 out of 10,2 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,2 out of 9,4 out of 10,3 out of 10,1 out of 9,3 out of 10,3 out of 10,1 out of 9,3 out of 10,5 out of 10,4 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,22,18,"1370 WEST D ST
North Wilkesboro, NC 28659
(36.158121, -81.158011)"
190128,WOMAN'S HOSPITAL,100 WOMAN'S WAY,Baton Rouge,LA,70817,EAST BATON ROUGE,5 out of 10,4 out of 9,5 out of 10,6 out of 10,4 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,7 out of 10,3 out of 9,7 out of 10,5 out of 10,5 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,8 out of 9,9 out of 10,49,20,"100 WOMAN'S WAY
Baton Rouge, LA 70817
(30.384001, -91.03687)"
250025,MERIT HEALTH GILMORE MEMORIAL,1105 EARL FRYE BLVD,Amory,MS,38821,MONROE,7 out of 10,0 out of 9,7 out of 10,10 out of 10,0 out of 9,10 out of 10,3 out of 10,0 out of 9,3 out of 10,7 out of 10,0 out of 9,7 out of 10,8 out of 10,7 out of 9,8 out of 10,5 out of 10,0 out of 9,5 out of 10,8 out of 10,8 out of 9,8 out of 10,2 out of 10,0 out of 9,2 out of 10,50,20,"1105 EARL FRYE BLVD
Amory, MS 38821
(33.977328, -88.477619)"
310015,MORRISTOWN MEDICAL CENTER,100 MADISON AVE,Morristown,NJ,7962,MORRIS,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,6,14,"100 MADISON AVE
Morristown, NJ 07962
(40.787896, -74.464851)"
360092,MEMORIAL HOSPITAL,500 LONDON AVENUE,Marysville,OH,43040,UNION,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,16,20,"500 LONDON AVENUE
Marysville, OH 43040
(40.229372, -83.369545)"
230054,UP HEALTH SYSTEM - MARQUETTE,420 W MAGNETIC,Marquette,MI,49855,MARQUETTE,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,5 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,10,16,"420 W MAGNETIC
Marquette, MI 49855
(46.553607, -87.399158)"
340040,VIDANT MEDICAL CENTER,2100 STANTONSBURG RD,Greenville,NC,27835,PITT,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,8 out of 10,0 out of 9,8 out of 10,4 out of 10,0 out of 9,4 out of 10,25,19,"2100 STANTONSBURG RD
Greenville, NC 27835
(35.605475, -77.404218)"
180104,BAPTIST HEALTH PADUCAH,2501 KENTUCKY AVENUE,Paducah,KY,42003,MCCRACKEN,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,7 out of 9,7 out of 10,3 out of 10,1 out of 9,3 out of 10,15,19,"2501 KENTUCKY AVENUE
Paducah, KY 42003
(37.073152, -88.628475)"
150059,RIVERVIEW HEALTH,395 WESTFIELD RD,Noblesville,IN,46060,HAMILTON,1 out of 10,1 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,5 out of 10,3 out of 9,5 out of 10,3 out of 10,2 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,7 out of 10,6 out of 9,7 out of 10,5 out of 10,3 out of 9,5 out of 10,27,18,"395 WESTFIELD RD
Noblesville, IN 46060
(40.047026, -86.024081)"
180078,PAUL B HALL REGIONAL MEDICAL CENTER,625 JAMES S TRIMBLE BOULEVARD,Paintsville,KY,41240,JOHNSON,0 out of 10,0 out of 9,0 out of 10,6 out of 10,4 out of 9,6 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,15,17,"625 JAMES S TRIMBLE BOULEVARD
Paintsville, KY 41240
(37.815015, -82.812803)"
310118,MEADOWLANDS HOSPITAL MEDICAL CENTER,55 MEADOWLANDS PKWY,Secaucus,NJ,7094,HUDSON,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1,10,"55 MEADOWLANDS PKWY
Secaucus, NJ 07094
(40.791793, -74.07211)"
340114,REX HOSPITAL,4420 LAKE BOONE TRAIL,Raleigh,NC,27607,WAKE,3 out of 10,2 out of 9,3 out of 10,6 out of 10,0 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,5 out of 10,4 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,0 out of 9,10 out of 10,5 out of 10,0 out of 9,5 out of 10,32,18,"4420 LAKE BOONE TRAIL
Raleigh, NC 27607
(35.815458, -78.705032)"
250128,MERIT HEALTH BATESVILLE,303 MEDICAL CENTER DRIVE,Batesville,MS,38606,PANOLA,2 out of 10,4 out of 9,4 out of 10,5 out of 10,5 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,5 out of 10,8 out of 9,8 out of 10,7 out of 10,7 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,4 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,42,15,"303 MEDICAL CENTER DRIVE
Batesville, MS 38606
(34.306319, -89.916488)"
270023,COMMUNITY MEDICAL CENTER,2827 FORT MISSOULA RD,Missoula,MT,59804,MISSOULA,1 out of 10,1 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,5 out of 9,7 out of 10,3 out of 10,1 out of 9,3 out of 10,21,20,"2827 FORT MISSOULA RD
Missoula, MT 59804
(46.845693, -114.046289)"
170009,SAINT JOHN HOSPITAL,3500 SOUTH 4TH STREET,Leavenworth,KS,66048,LEAVENWORTH,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,10 out of 10,9 out of 9,10 out of 10,8 out of 10,5 out of 9,8 out of 10,8 out of 10,4 out of 9,8 out of 10,6 out of 10,5 out of 9,6 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,40,20,"3500 SOUTH 4TH STREET
Leavenworth, KS 66048
(39.283834, -94.90357)"
360091,MEDINA HOSPITAL,1000 EAST WASHINGTON STREET,Medina,OH,44256,MEDINA,4 out of 10,3 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,7 out of 9,8 out of 10,1 out of 10,2 out of 9,2 out of 10,21,18,"1000 EAST WASHINGTON STREET
Medina, OH 44256
(41.138885, -81.836933)"
260095,CENTERPOINT MEDICAL CENTER,19600 EAST 39TH STREET,Independence,MO,64057,JACKSON,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,8 out of 10,0 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,12,16,"19600 EAST 39TH STREET
Independence, MO 64057
(39.047771, -94.349313)"
250117,HIGHLAND COMMUNITY  HOSPITAL,130 HIGHLAND PKWY,Picayune,MS,39466,PEARL RIVER,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2,10,"130 HIGHLAND PKWY
Picayune, MS 39466
(30.552569, -89.665487)"
150045,DEKALB HEALTH,1316 E SEVENTH ST,Auburn,IN,46706,DE KALB,2 out of 10,3 out of 9,3 out of 10,7 out of 10,4 out of 9,7 out of 10,7 out of 10,4 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,1 out of 9,7 out of 10,0 out of 10,2 out of 9,2 out of 10,8 out of 10,3 out of 9,8 out of 10,3 out of 10,2 out of 9,3 out of 10,37,18,"1316 E SEVENTH ST
Auburn, IN 46706
(41.367669, -85.035573)"
190098,UNIVERSITY HEALTH SHREVEPORT,1541 KINGS HIGHWAY,Shreveport,LA,71130,CADDO,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1,12,"1541 KINGS HIGHWAY
Shreveport, LA 71130
(32.481791, -93.76159)"
330061,LAWRENCE HOSPITAL CENTER,55 PALMER AVENUE,Bronxville,NY,10708,WESTCHESTER,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1,15,"55 PALMER AVENUE
Bronxville, NY 10708
(40.941585, -73.836593)"
330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,Batavia,NY,14020,GENESEE,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,13,14,"127 NORTH STREET
Batavia, NY 14020
(43.003913, -78.177006)"
320085,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,4311 EAST LOHMAN AVENUE,Las Cruces,NM,88011,DONA ANA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1,16,"4311 EAST LOHMAN AVENUE
Las Cruces, NM 88011
(32.322639, -106.728297)"
230041,MCLAREN BAY REGION,1900 COLUMBUS AVE,Bay City,MI,48708,BAY,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,7,13,"1900 COLUMBUS AVE
Bay City, MI 48708
(43.589393, -83.868688)"
180038,OWENSBORO HEALTH REGIONAL HOSPITAL,1201 PLEASANT VALLEY ROAD,Owensboro,KY,42304,DAVIESS,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,3 out of 10,3 out of 9,3 out of 10,5 out of 10,5 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,13,15,"1201 PLEASANT VALLEY ROAD
Owensboro, KY 42304
(37.777296, -87.069958)"
340184,HAYWOOD REGIONAL MEDICAL CENTER,262 LEROY GEORGE DRIVE,Clyde,NC,28721,HAYWOOD,1 out of 10,0 out of 9,1 out of 10,6 out of 10,0 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,9,15,"262 LEROY GEORGE DRIVE
Clyde, NC 28721
(35.527857, -82.945437)"
230040,SPECTRUM HEALTH PENNOCK,1009 W GREEN ST,Hastings,MI,49058,BARRY,4 out of 10,1 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,3 out of 9,5 out of 10,30,18,"1009 W GREEN ST
Hastings, MI 49058
(42.6442, -85.3021)"
360089,MERCY TIFFIN HOSPITAL,45 ST LAWRENCE DRIVE,Tiffin,OH,44883,SENECA,5 out of 10,0 out of 9,5 out of 10,5 out of 10,3 out of 9,5 out of 10,7 out of 10,5 out of 9,7 out of 10,7 out of 10,4 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,9 out of 10,8 out of 9,9 out of 10,4 out of 10,0 out of 9,4 out of 10,48,20,"45 ST LAWRENCE DRIVE
Tiffin, OH 44883
(41.105138, -83.217094)"
150182,FRANCISCAN ST FRANCIS HEALTH - CARMEL,12188 B NORTH MERIDIAN STREET,Carmel,IN,46240,HAMILTON,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,80,20,"12188 B NORTH MERIDIAN STREET
Carmel, IN 46240
(39.966598, -86.158387)"
320011,PRESBYTERIAN ESPANOLA HOSPITAL,1010 SPRUCE STREET,Espanola,NM,87532,RIO ARRIBA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,6 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,7,11,"1010 SPRUCE STREET
Espanola, NM 87532
(35.997101, -106.086683)"
290006,BANNER CHURCHILL COMMUNITY HOSPITAL,801 EAST WILLIAMS AVENUE,Fallon,NV,89406,CHURCHILL,6 out of 10,4 out of 9,6 out of 10,8 out of 10,6 out of 9,8 out of 10,4 out of 10,0 out of 9,4 out of 10,6 out of 10,0 out of 9,6 out of 10,6 out of 10,3 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,9 out of 10,9 out of 9,9 out of 10,5 out of 10,4 out of 9,5 out of 10,44,19,"801 EAST WILLIAMS AVENUE
Fallon, NV 89406
(39.474876, -118.76518)"
220119,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,Jamaica Plain,MA,2130,SUFFOLK,6 out of 10,4 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,6 out of 10,0 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,1 out of 9,4 out of 10,42,17,"1153 CENTRE STREET
Jamaica Plain, MA 02130
(42.30066, -71.127432)"
260104,SSM HEALTH DEPAUL HOSPITAL ST LOUIS,12303 DEPAUL DRIVE,Bridgeton,MO,63044,ST. LOUIS,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,18,19,"12303 DEPAUL DRIVE
Bridgeton, MO 63044
(38.748965, -90.432379)"
150109,FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST,1701 S CREASY LN,Lafayette,IN,47905,TIPPECANOE,5 out of 10,4 out of 9,5 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,4 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,3 out of 9,6 out of 10,5 out of 10,3 out of 9,5 out of 10,26,20,"1701 S CREASY LN
Lafayette, IN 47905
(40.393845, -86.838378)"
230037,HILLSDALE HOSPITAL,168 S HOWELL STREET,Hillsdale,MI,49242,HILLSDALE,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,12,15,"168 S HOWELL STREET
Hillsdale, MI 49242
(41.911489, -84.631702)"
230133,OTSEGO MEMORIAL HOSPITAL,825 N CENTER AVE,Gaylord,MI,49735,OTSEGO,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,9 out of 10,8 out of 9,9 out of 10,2 out of 10,0 out of 9,2 out of 10,19,13,"825 N CENTER AVE
Gaylord, MI 49735
(45.035374, -84.673886)"
360001,MERCY HOSPITAL ANDERSON,7500 STATE ROAD,Cincinnati,OH,45255,HAMILTON,3 out of 10,0 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,7 out of 9,7 out of 10,3 out of 10,3 out of 9,3 out of 10,18,15,"7500 STATE ROAD
Cincinnati, OH 45255
(39.084376, -84.349243)"
330240,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,New York,NY,10037,NEW YORK,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,11,3,"506 LENOX AVENUE
New York, NY 10037
(40.814482, -73.940495)"
330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,255 LAFAYETTE AVENUE,Suffern,NY,10901,ROCKLAND,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2,5,"255 LAFAYETTE AVENUE
Suffern, NY 10901
(41.112389, -74.136248)"
240210,HEALTHEAST ST JOHN'S HOSPITAL,1575 BEAM AVENUE,Maplewood,MN,55109,RAMSEY,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,8,14,"1575 BEAM AVENUE
Maplewood, MN 55109
(45.028131, -93.033508)"
360084,AULTMAN HOSPITAL,2600 SIXTH STREET SW,Canton,OH,44710,STARK,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,13,15,"2600 SIXTH STREET SW
Canton, OH 44710
(40.796852, -81.403575)"
320021,PRESBYTERIAN HOSPITAL,1100 CENTRAL AVENUE SE,Albuquerque,NM,87106,BERNALILLO,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1,16,"1100 CENTRAL AVENUE SE
Albuquerque, NM 87106
(35.082295, -106.63453)"
150091,PARKVIEW HUNTINGTON HOSPITAL,2001 STULTS RD,Huntington,IN,46750,HUNTINGTON,10 out of 10,9 out of 9,10 out of 10,5 out of 10,4 out of 9,5 out of 10,8 out of 10,6 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,9 out of 9,9 out of 10,6 out of 10,5 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,8 out of 10,7 out of 9,8 out of 10,66,20,"2001 STULTS RD
Huntington, IN 46750
(40.905739, -85.490603)"
230053,HENRY FORD HOSPITAL,2799 W GRAND BLVD,Detroit,MI,48202,WAYNE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4,15,"2799 W GRAND BLVD
Detroit, MI 48202
(42.366114, -83.084592)"
360078,ROBINSON MEMORIAL HOSPITAL,6847 N CHESTNUT,Ravenna,OH,44266,PORTAGE,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,5 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,16,15,"6847 N CHESTNUT
Ravenna, OH 44266
(41.176723, -81.245887)"
150100,ST MARY'S MEDICAL CENTER,3700 WASHINGTON AVE,Evansville,IN,47750,VANDERBURGH,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,9 out of 10,3 out of 9,9 out of 10,3 out of 10,0 out of 9,3 out of 10,19,18,"3700 WASHINGTON AVE
Evansville, IN 47750
(37.962408, -87.50554)"
330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,301 PROSPECT AVENUE,Syracuse,NY,13203,ONONDAGA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,6 out of 10,0 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,10,14,"301 PROSPECT AVENUE
Syracuse, NY 13203
(43.055562, -76.149154)"
150128,COMMUNITY HOSPITAL SOUTH,1402 E COUNTY LINE RD S,Indianapolis,IN,46227,MARION,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,5 out of 10,5 out of 9,5 out of 10,3 out of 10,4 out of 9,4 out of 10,5 out of 10,3 out of 9,5 out of 10,3 out of 10,4 out of 9,4 out of 10,8 out of 10,5 out of 9,8 out of 10,30,18,"1402 E COUNTY LINE RD S
Indianapolis, IN 46227
(39.635538, -86.133908)"
360079,KETTERING MEDICAL CENTER,3535 SOUTHERN BOULEVARD,Kettering,OH,45429,MONTGOMERY,6 out of 10,5 out of 9,6 out of 10,1 out of 10,2 out of 9,2 out of 10,3 out of 10,3 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,5 out of 10,5 out of 9,5 out of 10,2 out of 10,3 out of 9,3 out of 10,9 out of 10,9 out of 9,9 out of 10,7 out of 10,5 out of 9,7 out of 10,39,20,"3535 SOUTHERN BOULEVARD
Kettering, OH 45429
(39.695524, -84.191013)"
